"id","name","country_id:id","zipcode","state_id:id"
antonio_narino,Antonio Nariño,base.co,,
armenia,Armenia,base.co,,
barrancabermeja,Barrancabermeja,base.co,,
barranquilla,Barranquilla,base.co,,
barrios_unidos,Barrios Unidos,base.co,,
bello,Bello,base.co,,
bogota,Bogotá,base.co,,
bosa,Bosa,base.co,,
bucaramanga,Bucaramanga,base.co,,
caldas,Caldas,base.co,,
cali,Cali,base.co,,
cartagena,Cartagena,base.co,,
chapinero,Chapinero,base.co,,
chia,Chia,base.co,,
ciudad_bolivar,Ciudad Bolivar,base.co,,
copacabana,Copacabana,base.co,,
cucuta,Cucuta,base.co,,
el_carmen,El Carmen,base.co,,
el_retiro,El Retiro,base.co,,
engativa,Engativa,base.co,,
envigado,Envigado,base.co,,
fontibon,Fontibon,base.co,,
girardota,Girardota,base.co,,
guarne,Guarne,base.co,,
ibague,Ibague,base.co,,
ibague,Ibague,base.co,,
ipiales,Ipiales,base.co,,
itagui,Itagüí,base.co,,
kennedy,kennedy,base.co,,
la_ceja,La Ceja,base.co,,
la_union,La Union,base.co,,
la_ceja,La Ceja,base.co,,
la_estrella,La Estrella,base.co,,
manizales,Manizales,base.co,,
marinilla,Marinilla,base.co,,
martinez,Martinez,base.co,,
medellin,Medellín,base.co,,
medellin,Medellín,base.co,,
metropolitana,Metropolitana,base.co,,
monteria,Monteria,base.co,,
neiva,Neiva,base.co,,
norte_centro_historico,Norte Centro Historico,base.co,,
palmira,Palmira,base.co,,
pasto,Pasto,base.co,,
pereira,Pereira,base.co,,
prado,Prado,base.co,,
puente_aranda,Puente Aranda,base.co,,
rafael_uribe,Rafael Uribe,base.co,,
riomar,Riomar,base.co,,
rionegro,Rionegro,base.co,,
sabaneta,Sabaneta,base.co,,
santa_fe,Santa Fe,base.co,,
santuario,Santuario,base.co,,
sincelejo,Sincelejo,base.co,,
soledad,Soledad,base.co,,
sopo,Sopo,base.co,,
suba,Suba,base.co,,
suroccidente,Suroccidente,base.co,,
suroriente,Suroriente,base.co,,
teusaquillo,Teusaquillo,base.co,,
tulua,Tulua,base.co,,
tunjuelito,Tunjuelito,base.co,,
usaquen,Usaquen,base.co,,
usme,Usme,base.co,,
via_palmas_med,Via Palmas Med,base.co,,
villavicencio,Villavicencio,base.co,,
yumbo,YUMBO,base.co,,
